hours	HPLC_Glc_1	HPLC_Glc_2	HPLC_Glc_3	HPLC_Gul_1	HPLC_Gul_2	HPLC_Gul_3	HPLC_Man_1	HPLC_Man_2	HPLC_Man_3	OD_Alg_1	OD_Alg_2	OD_Alg_3	OD_Glc_1	OD_Glc_2	OD_Glc_3
0	0.348980865	0.34194033	0.33030597	0.1245	0.1122	0.1033	0.1105	0.101	0.0912	0	0	0	0	0	0
7	0.332602882	0.333202076	0.335099526	0.1202	0.1181	0.1092	0.1079	0.107	0.0995	0.009	0.006	0.014	0.011	0.011	0.001
10	0.333668117	0.347782476	0.328358588	0.1032	0.0884	0.1277	0.0936	0.0795	0.1159	0.015	0.011	0.019	0.015	0.009	0.009
13	0.330688788	0.312180336	0.339293887	0.1176	0.0979	0.104	0.1075	0.0882	0.094	0.033	0.04	0.082	0.042	0.028	0.029
17	0.350778449	0.366357506	0.316524496	0.1011	0.1058	0.0911	0.0937	0.0983	0.0835	0.072	0.06	0.126	0.066	0.06	0.07
20	0.30269309	0.329307312	0.318172281	0.0788	0.0913	0.0892	0.0743	0.0853	0.0875	0.149	0.107	0.211	0.136	0.135	0.113
24	0.312513222	0.330405835	0.302193761	0.066	0.0732	0.0509	0.0659	0.073	0.0567	0.286	0.216	0.394	0.229	0.184	0.3
27	0.255639677	0.242274311	0.25945122	0.0133	0.0039	0.0288	0.0267	0.009	0.0421	0.551	0.486	0.603	0.775	0.195	0.415
30	0.223665992	0.233086662	0.218106799	0.0007	0.009	0.0007	0.0015	0.0012	0.001	0.568	0.392	0.396	0.776	0.844	0.782
33	0.238362902	0.253309476	0.24312317	0	0	0	0	0	0	0.732	0.588	0.67	0.782	0.89	0.776
47	0.226711898	0.23688156	0.229391629	0	0	0	0	0	0	0.584	0.378	0.464	0.874	0.966	0.886
