hours	OD-Alg_Alt761_1	OD-Alg_Alt761_2	OD-Alg_Alt761_3	OD-Alg_Mar621_1	OD-Alg_Mar621_2	OD-Alg_Mar621_3
0	0	0	0	0	0	0
7	0.115	0.08	0.069	0.009	0.006	0.014
10	0.307	0.208	0.215	0.015	0.011	0.019
13	0.818	0.72	0.61	0.033	0.04	0.082
17	0.742	0.756	0.75	0.072	0.06	0.126
20	0.74	0.736	0.746	0.149	0.107	0.211
24	0.708	0.714	0.69	0.286	0.216	0.394
27	0.725	0.735	0.72	0.551	0.486	0.603
30	0.682	0.682	0.696	0.568	0.392	0.396
33	0.654	0.648	0.666	0.732	0.588	0.67
47	0.6	0.6	0.556	0.584	0.378	0.464
