	Arenibacter_aquaticus_GUO	Maribacter_forsetii_DSM18668	Maribacter_621	Maribacter_aquivivus_DSM16478	Maribacter_caenipelagi_CECT8455	Maribacter_dokdonensis_DSW.8	Maribacter_dokdonensis_MAR.2009.60	Maribacter_dokdonensis_MAR.2009.71	Maribacter_Hel_I_7	Maribacter_litoralis_SDRB.Phe2	Maribacter_sedimenticola_DSM19840	Maribacter_2014MBL_MicDiv	Maribacter_MAR.2009.72	Maribacter_stanieri_DSM19891	Maribacter_thermophilus_HT7.2	Maribacter_ulvicola_DSM15366	Muricauda_alvinocaridis_SCR12	Pricia_antarctica_DSM23421	Pseudozobellia_thermophila_DSM19858	Zobellia_amurskyensis_KMM3526	Zobellia_galactanivorans_DsiJ	Zobellia_uliginosa_DSM2061	Zobellia_uliginosa_MAR.2009.138
Arenibacter_aquaticus_GUO	100.00	75.74	75.78	75.83	76.61	75.58	75.84	75.67	75.44	76.43	74.45	75.77	75.62	75.53	75.59	77.42	75.42	74.12	75.06	75.27	75.13	75.63	74.99
Maribacter_forsetii_DSM18668	75.74	100.00	81.18	84.29	84.53	81.27	81.29	81.56	82.21	82.96	78.28	81.50	78.65	82.22	76.50	84.08	74.93	75.58	78.13	77.25	76.47	76.18	77.17
Maribacter_621	75.78	81.18	100.00	80.71	81.12	97.82	97.78	97.76	80.87	83.46	80.96	97.57	80.64	80.85	76.95	80.76	81.37	75.34	76.94	77.74	75.74	75.85	77.29
Maribacter_aquivivus_DSM16478	75.83	84.29	80.71	100.00	86.87	80.72	80.60	80.68	85.29	81.02	78.55	80.99	78.58	85.89	76.41	83.04	75.60	74.26	77.89	77.71	75.94	75.75	77.57
Maribacter_caenipelagi_CECT8455	76.61	84.53	81.12	86.87	100.00	81.03	80.98	81.24	82.54	83.44	78.58	81.19	78.48	82.64	76.34	82.85	75.78	74.45	76.51	77.41	76.00	75.72	76.69
Maribacter_dokdonensis_DSW.8	75.58	81.27	97.82	80.72	81.03	100.00	97.77	97.79	80.87	83.31	80.84	97.62	80.65	80.96	77.09	80.64	74.77	75.01	75.80	77.26	75.66	76.14	77.01
Maribacter_dokdonensis_MAR.2009.60	75.84	81.29	97.78	80.60	80.98	97.77	100.00	97.94	80.71	83.50	80.83	97.67	80.77	80.62	76.89	80.61	74.72	75.37	76.30	77.27	75.69	76.13	77.21
Maribacter_dokdonensis_MAR.2009.71	75.67	81.56	97.76	80.68	81.24	97.79	97.94	100.00	80.81	83.75	81.50	97.68	80.82	80.97	77.08	80.75	75.14	75.34	78.07	77.82	75.94	76.02	77.78
Maribacter_Hel_I_7	75.44	82.21	80.87	85.29	82.54	80.87	80.71	80.81	100.00	80.88	78.89	80.72	79.10	98.16	76.65	81.40	76.35	76.31	78.06	78.15	76.40	76.56	78.01
Maribacter_litoralis_SDRB.Phe2	76.43	82.96	83.46	81.02	83.44	83.31	83.50	83.75	80.88	100.00	78.96	83.86	78.99	80.76	76.41	81.60	77.54	74.55	76.30	77.03	76.48	76.76	76.69
Maribacter_sedimenticola_DSM19840	74.45	78.28	80.96	78.55	78.58	80.84	80.83	81.50	78.89	78.96	100.00	81.86	98.18	79.29	76.31	78.12	74.74	72.71	76.00	76.71	75.29	75.24	76.71
Maribacter_2014MBL_MicDiv	75.77	81.50	97.57	80.99	81.19	97.62	97.67	97.68	80.72	83.86	81.86	100.00	81.15	81.04	76.94	80.67	75.02	74.98	77.48	77.03	76.04	76.17	77.13
Maribacter_MAR.2009.72	75.62	78.65	80.64	78.58	78.48	80.65	80.77	80.82	79.10	78.99	98.18	81.15	100.00	79.30	76.66	78.41	75.39	74.86	76.22	76.80	76.49	76.10	76.60
Maribacter_stanieri_DSM19891	75.53	82.22	80.85	85.89	82.64	80.96	80.62	80.97	98.16	80.76	79.29	81.04	79.30	100.00	76.37	81.31	74.59	75.79	77.49	78.11	75.80	76.50	78.14
Maribacter_thermophilus_HT7.2	75.59	76.50	76.95	76.41	76.34	77.09	76.89	77.08	76.65	76.41	76.31	76.94	76.66	76.37	100.00	75.89	74.48	74.91	87.88	76.03	77.83	80.71	77.16
Maribacter_ulvicola_DSM15366	77.42	84.08	80.76	83.04	82.85	80.64	80.61	80.75	81.40	81.60	78.12	80.67	78.41	81.31	75.89	100.00	78.37	75.30	75.04	77.56	75.72	75.97	76.59
Muricauda_alvinocaridis_SCR12	75.42	74.93	81.37	75.60	75.78	74.77	74.72	75.14	76.35	77.54	74.74	75.02	75.39	74.59	74.48	78.37	100.00	75.40	74.96	74.47	75.20	75.62	74.56
Pricia_antarctica_DSM23421	74.12	75.58	75.34	74.26	74.45	75.01	75.37	75.34	76.31	74.55	72.71	74.98	74.86	75.79	74.91	75.30	75.40	100.00	75.66	75.12	75.24	75.30	75.22
Pseudozobellia_thermophila_DSM19858	75.06	78.13	76.94	77.89	76.51	75.80	76.30	78.07	78.06	76.30	76.00	77.48	76.22	77.49	87.88	75.04	74.96	75.66	100.00	76.27	80.35	81.24	76.76
Zobellia_amurskyensis_KMM3526	75.27	77.25	77.74	77.71	77.41	77.26	77.27	77.82	78.15	77.03	76.71	77.03	76.80	78.11	76.03	77.56	74.47	75.12	76.27	100.00	79.81	79.82	98.22
Zobellia_galactanivorans_DsiJ	75.13	76.47	75.74	75.94	76.00	75.66	75.69	75.94	76.40	76.48	75.29	76.04	76.49	75.80	77.83	75.72	75.20	75.24	80.35	79.81	100.00	93.38	79.74
Zobellia_uliginosa_DSM2061	75.63	76.18	75.85	75.75	75.72	76.14	76.13	76.02	76.56	76.76	75.24	76.17	76.10	76.50	80.71	75.97	75.62	75.30	81.24	79.82	93.38	100.00	79.62
Zobellia_uliginosa_MAR.2009.138	74.99	77.17	77.29	77.57	76.69	77.01	77.21	77.78	78.01	76.69	76.71	77.13	76.60	78.14	77.16	76.59	74.56	75.22	76.76	98.22	79.74	79.62	100.00
