HMMProfile	locus_tag	Coverage	evalue	Strain
GT27.hmm	MAR621_00039	0.79	1.20E-18	Maribacter 62-1
GH10.hmm	MAR621_00104	0.99	1.30E-108	Maribacter 62-1
GH43_1.hmm	MAR621_00106	1.00	2.40E-163	Maribacter 62-1
GH13_4.hmm	MAR621_00225	1.00	4.50E-179	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_00347	0.77	3.20E-22	Maribacter 62-1
GT5.hmm	MAR621_00439	0.99	1.90E-111	Maribacter 62-1
GT9.hmm	MAR621_00457	0.89	1.20E-29	Maribacter 62-1
GT26.hmm	MAR621_00464	0.97	3.80E-50	Maribacter 62-1
GT4.hmm	MAR621_00465	0.94	2.20E-30	Maribacter 62-1
GT56.hmm	MAR621_00470	0.79	6.10E-42	Maribacter 62-1
PL12.hmm	MAR621_00475	0.99	2.30E-20	Maribacter 62-1
GH23.hmm	MAR621_00488	0.87	4.00E-25	Maribacter 62-1
AA2.hmm	MAR621_00504	0.43	1.70E-16	Maribacter 62-1
GH109.hmm	MAR621_00683	0.98	7.70E-22	Maribacter 62-1
GH109.hmm	MAR621_00687	0.98	1.60E-47	Maribacter 62-1
GH1.hmm	MAR621_00694	0.99	7.90E-152	Maribacter 62-1
CBM9.hmm	MAR621_00699	0.92	1.20E-42	Maribacter 62-1
GT26.hmm	MAR621_00716	0.99	4.70E-51	Maribacter 62-1
GH113.hmm	MAR621_00873	0.99	1.80E-79	Maribacter 62-1
GT19.hmm	MAR621_00918	0.99	9.20E-125	Maribacter 62-1
GH32.hmm	MAR621_00933	0.98	7.50E-100	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_00937	0.74	1.20E-20	Maribacter 62-1
CBM67.hmm	MAR621_00945	0.94	2.40E-29	Maribacter 62-1
GH78.hmm	MAR621_00945	0.98	5.30E-91	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_00947	0.83	5.40E-22	Maribacter 62-1
GT2_Glyco_tranf_2_3.hmm	MAR621_00948	0.98	3.50E-28	Maribacter 62-1
GH13_38.hmm	MAR621_00981	0.99	5.70E-179	Maribacter 62-1
GH65.hmm	MAR621_00982	0.99	3.60E-146	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_01045	0.97	3.30E-26	Maribacter 62-1
GT4.hmm	MAR621_01114	0.94	8.70E-37	Maribacter 62-1
GH3.hmm	MAR621_01115	0.97	1.30E-55	Maribacter 62-1
CE1.hmm	MAR621_01139	0.90	3.10E-29	Maribacter 62-1
GH3.hmm	MAR621_01147	0.97	3.50E-61	Maribacter 62-1
GH109.hmm	MAR621_01199	0.90	6.10E-17	Maribacter 62-1
GH88.hmm	MAR621_01343	0.98	5.00E-127	Maribacter 62-1
CE1.hmm	MAR621_01345	0.96	2.10E-52	Maribacter 62-1
GH97.hmm	MAR621_01346	0.99	5.20E-148	Maribacter 62-1
PL40.hmm	MAR621_01347	0.98	7.10E-253	Maribacter 62-1
GH141.hmm	MAR621_01349	0.99	8.90E-58	Maribacter 62-1
GH29.hmm	MAR621_01350	0.92	4.50E-115	Maribacter 62-1
PL33_2.hmm	MAR621_01353	0.98	6.00E-40	Maribacter 62-1
GH117.hmm	MAR621_01354	0.75	5.40E-22	Maribacter 62-1
PL40.hmm	MAR621_01356	0.96	1.90E-254	Maribacter 62-1
GH95.hmm	MAR621_01357	0.99	6.00E-296	Maribacter 62-1
GH28.hmm	MAR621_01361	0.65	5.60E-42	Maribacter 62-1
GH85.hmm	MAR621_01380	0.98	7.60E-91	Maribacter 62-1
GH109.hmm	MAR621_01409	0.94	6.80E-24	Maribacter 62-1
AA3.hmm	MAR621_01411	0.52	1.60E-57	Maribacter 62-1
GH5_4.hmm	MAR621_01418	0.99	2.60E-92	Maribacter 62-1
GT2_Glyco_tranf_2_3.hmm	MAR621_01510	0.74	9.30E-20	Maribacter 62-1
PL7_5.hmm	MAR621_01536	0.90	4.50E-70	Maribacter 62-1
PL7.hmm	MAR621_01767	0.98	9.20E-34	Maribacter 62-1
GH63.hmm	MAR621_01824	0.35	1.20E-24	Maribacter 62-1
GH63.hmm	MAR621_01832	0.36	8.50E-24	Maribacter 62-1
GH88.hmm	MAR621_01913	0.66	3.20E-84	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_01983	0.84	2.30E-28	Maribacter 62-1
GH13_19.hmm	MAR621_02055	0.62	1.40E-81	Maribacter 62-1
GH23.hmm	MAR621_02092	0.93	1.90E-22	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02099	0.75	1.30E-30	Maribacter 62-1
GH74.hmm	MAR621_02126	0.39	1.40E-16	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02136	0.96	2.40E-30	Maribacter 62-1
AA3.hmm	MAR621_02155	0.52	2.10E-53	Maribacter 62-1
AA3.hmm	MAR621_02161	0.51	1.10E-46	Maribacter 62-1
GH63.hmm	MAR621_02217	0.36	5.40E-50	Maribacter 62-1
CE11.hmm	MAR621_02383	0.86	2.40E-77	Maribacter 62-1
CE14.hmm	MAR621_02438	0.99	2.40E-25	Maribacter 62-1
CE14.hmm	MAR621_02447	0.91	1.10E-18	Maribacter 62-1
CBM9.hmm	MAR621_02499	0.99	4.20E-35	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02506	0.97	6.00E-31	Maribacter 62-1
GT83.hmm	MAR621_02508	0.94	2.80E-75	Maribacter 62-1
GH20.hmm	MAR621_02519	0.97	1.10E-104	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02527	0.76	8.50E-23	Maribacter 62-1
GT4.hmm	MAR621_02529	0.95	2.20E-33	Maribacter 62-1
GT4.hmm	MAR621_02530	0.96	5.60E-36	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02531	0.72	8.40E-17	Maribacter 62-1
GH109.hmm	MAR621_02566	0.96	2.30E-24	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02582	0.77	3.90E-20	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02690	0.98	1.20E-30	Maribacter 62-1
GH5_42.hmm	MAR621_02728	1.00	5.90E-122	Maribacter 62-1
GT2_Glycos_transf_2.hmm	MAR621_02731	0.95	2.30E-24	Maribacter 62-1
GH73.hmm	MAR621_02914	0.98	1.80E-34	Maribacter 62-1
GH144.hmm	MAR621_02938	0.99	6.80E-188	Maribacter 62-1
GH144.hmm	MAR621_02939	0.99	7.40E-183	Maribacter 62-1
CE1.hmm	MAR621_02940	0.60	1.40E-28	Maribacter 62-1
GH3.hmm	MAR621_02941	0.99	5.50E-71	Maribacter 62-1
PL6.hmm	MAR621_02951	0.99	3.80E-130	Maribacter 62-1
PL12.hmm	MAR621_02952	0.98	1.50E-21	Maribacter 62-1
PL6.hmm	MAR621_02953	0.98	9.30E-143	Maribacter 62-1
PL17.hmm	MAR621_02954	0.98	1.20E-51	Maribacter 62-1
GH2.hmm	MAR621_03174	0.97	4.10E-222	Maribacter 62-1
AA1_3.hmm	MAR621_03238	0.80	1.70E-37	Maribacter 62-1
CE1.hmm	MAR621_03287	0.89	5.50E-16	Maribacter 62-1
GT20.hmm	MAR621_03320	0.97	8.00E-178	Maribacter 62-1
GH15.hmm	MAR621_03321	0.98	3.70E-72	Maribacter 62-1
GT83.hmm	MAR621_03356	0.64	9.30E-21	Maribacter 62-1
GT5.hmm	MAR621_03374	0.47	1.40E-45	Maribacter 62-1
CBM9.hmm	MAR621_03407	0.87	3.50E-18	Maribacter 62-1
GT51.hmm	MAR621_03408	0.98	3.30E-57	Maribacter 62-1
GT83.hmm	MAR621_03445	0.59	1.90E-30	Maribacter 62-1
PL7.hmm	MAR621_03478	1.00	9.30E-59	Maribacter 62-1
PL7.hmm	MAR621_03479	1.00	9.40E-51	Maribacter 62-1
CBM9.hmm	MAR621_03557	0.80	3.30E-22	Maribacter 62-1
GT30.hmm	MAR621_03586	0.93	1.20E-46	Maribacter 62-1
GH16_3.hmm	MAR621_03589	0.96	1.20E-59	Maribacter 62-1
CBM48.hmm	MAR621_03679	0.92	1.20E-17	Maribacter 62-1
GH13_9.hmm	MAR621_03679	0.99	1.20E-76	Maribacter 62-1
CBM48.hmm	MAR621_03755	0.89	2.30E-17	Maribacter 62-1
GH13_9.hmm	MAR621_03755	1.00	1.30E-154	Maribacter 62-1
GH31.hmm	MAR621_03756	1.00	5.00E-167	Maribacter 62-1
GT28.hmm	MAR621_03780	0.99	5.60E-48	Maribacter 62-1
GH13_14.hmm	MAR621_03793	1.00	5.40E-119	Maribacter 62-1
CE14.hmm	MAR621_03829	0.99	1.40E-22	Maribacter 62-1
PL7_5.hmm	MAR621_03859	0.61	4.00E-61	Maribacter 62-1
GH109.hmm	MAR621_03892	0.93	2.10E-16	Maribacter 62-1
GT51.hmm	MAR621_04010	0.99	8.80E-58	Maribacter 62-1
GT4.hmm	MAR621_04078	0.95	9.00E-34	Maribacter 62-1
CE1.hmm	MAR621_04103	0.75	1.40E-21	Maribacter 62-1
GT9.hmm	alt76_00066	0.91	3.00E-52	Alteromonas 76-1
AA3_2.hmm	alt76_00121	1.00	2.30E-164	Alteromonas 76-1
GH36.hmm	alt76_00253	1.00	1.10E-218	Alteromonas 76-1
GH2.hmm	alt76_00290	0.97	6.70E-227	Alteromonas 76-1
GT5.hmm	alt76_00293	1.00	8.30E-165	Alteromonas 76-1
GH37.hmm	alt76_00338	0.99	1.50E-157	Alteromonas 76-1
CBM16.hmm	alt76_00345	0.94	1.60E-18	Alteromonas 76-1
CBM32.hmm	alt76_00345	0.94	4.40E-18	Alteromonas 76-1
PL18.hmm	alt76_00345	0.93	8.70E-69	Alteromonas 76-1
AA3.hmm	alt76_00353	0.51	1.80E-53	Alteromonas 76-1
GT4.hmm	alt76_00375	0.94	5.30E-31	Alteromonas 76-1
GT9.hmm	alt76_00376	0.95	3.30E-48	Alteromonas 76-1
GT30.hmm	alt76_00377	0.98	1.00E-61	Alteromonas 76-1
GH103.hmm	alt76_00387	0.99	7.90E-118	Alteromonas 76-1
GT51.hmm	alt76_00389	0.94	3.80E-58	Alteromonas 76-1
GT51.hmm	alt76_00431	0.99	3.20E-65	Alteromonas 76-1
GH3.hmm	alt76_00506	0.97	8.40E-54	Alteromonas 76-1
GH23.hmm	alt76_00560	0.84	8.40E-26	Alteromonas 76-1
GH9.hmm	alt76_00804	0.99	7.90E-116	Alteromonas 76-1
GH3.hmm	alt76_00808	0.98	5.20E-69	Alteromonas 76-1
CE9.hmm	alt76_00821	0.99	1.20E-113	Alteromonas 76-1
GT19.hmm	alt76_00968	0.99	5.70E-133	Alteromonas 76-1
GH23.hmm	alt76_00978	0.82	1.80E-21	Alteromonas 76-1
GH73.hmm	alt76_01005	0.95	2.80E-35	Alteromonas 76-1
CE14.hmm	alt76_01025	0.98	4.10E-17	Alteromonas 76-1
CE1.hmm	alt76_01189	0.77	2.80E-28	Alteromonas 76-1
CE1.hmm	alt76_01259	0.93	6.90E-23	Alteromonas 76-1
PL22.hmm	alt76_01287	0.39	8.40E-16	Alteromonas 76-1
GT35.hmm	alt76_01477	1.00	2.60E-283	Alteromonas 76-1
GT4.hmm	alt76_01544	0.87	4.30E-32	Alteromonas 76-1
GT4.hmm	alt76_01546	0.86	8.10E-26	Alteromonas 76-1
GT2_Glycos_transf_2.hmm	alt76_01547	0.91	1.20E-25	Alteromonas 76-1
GT4.hmm	alt76_01549	0.92	2.60E-31	Alteromonas 76-1
GT4.hmm	alt76_01553	0.89	6.40E-26	Alteromonas 76-1
GT2_Glycos_transf_2.hmm	alt76_01554	0.74	1.90E-28	Alteromonas 76-1
GH3.hmm	alt76_01567	0.97	6.30E-48	Alteromonas 76-1
CE1.hmm	alt76_01669	0.92	4.80E-29	Alteromonas 76-1
PL7_5.hmm	alt76_01684	1.00	1.40E-104	Alteromonas 76-1
PL6.hmm	alt76_01689	0.99	9.30E-144	Alteromonas 76-1
GH13_18.hmm	alt76_01840	0.99	1.60E-148	Alteromonas 76-1
GT81.hmm	alt76_01841	0.63	2.80E-69	Alteromonas 76-1
AA6.hmm	alt76_01855	0.98	2.40E-57	Alteromonas 76-1
GH73.hmm	alt76_02013	0.88	1.10E-20	Alteromonas 76-1
CE1.hmm	alt76_02097	0.82	1.80E-26	Alteromonas 76-1
GH13_2.hmm	alt76_02136	0.99	3.80E-62	Alteromonas 76-1
GH13.hmm	alt76_02138	0.96	4.80E-58	Alteromonas 76-1
GH13_38.hmm	alt76_02139	1.00	2.50E-175	Alteromonas 76-1
CBM41.hmm	alt76_02143	0.98	3.00E-17	Alteromonas 76-1
GH13_13.hmm	alt76_02143	0.99	1.40E-129	Alteromonas 76-1
AA3_2.hmm	alt76_02269	0.99	1.60E-171	Alteromonas 76-1
CBM48.hmm	alt76_02487	0.91	1.50E-18	Alteromonas 76-1
GH13_11.hmm	alt76_02487	1.00	2.20E-145	Alteromonas 76-1
CBM48.hmm	alt76_02488	0.78	6.50E-16	Alteromonas 76-1
GH13_9.hmm	alt76_02488	0.99	1.80E-160	Alteromonas 76-1
GH77.hmm	alt76_02489	0.99	3.50E-146	Alteromonas 76-1
GH23.hmm	alt76_02585	0.91	2.20E-23	Alteromonas 76-1
PL17.hmm	alt76_02604	0.98	3.00E-53	Alteromonas 76-1
AA3_2.hmm	alt76_02647	0.99	1.40E-171	Alteromonas 76-1
GH103.hmm	alt76_02664	1.00	5.80E-115	Alteromonas 76-1
GH13.hmm	alt76_02673	0.95	1.90E-53	Alteromonas 76-1
GT2_Glycos_transf_2.hmm	alt76_02893	0.79	1.60E-21	Alteromonas 76-1
CE4.hmm	alt76_02895	0.91	3.30E-30	Alteromonas 76-1
GT4.hmm	alt76_02896	0.92	3.40E-24	Alteromonas 76-1
GT4.hmm	alt76_02897	0.87	1.30E-33	Alteromonas 76-1
GT2_Glycos_transf_2.hmm	alt76_02906	0.75	7.20E-39	Alteromonas 76-1
GH13_18.hmm	alt76_03012	1.00	3.50E-117	Alteromonas 76-1
GT25.hmm	alt76_03058	0.97	1.30E-33	Alteromonas 76-1
GH13_9.hmm	alt76_03078	0.99	5.90E-74	Alteromonas 76-1
GT2_Glycos_transf_2.hmm	alt76_03093	0.97	1.60E-22	Alteromonas 76-1
CE11.hmm	alt76_03165	0.91	5.10E-105	Alteromonas 76-1
GT28.hmm	alt76_03171	0.98	3.80E-52	Alteromonas 76-1
PL7_5.hmm	alt76_03213	1.00	3.60E-109	Alteromonas 76-1
CBM32.hmm	alt76_03414	0.94	5.70E-24	Alteromonas 76-1
PL7_5.hmm	alt76_03414	0.99	7.10E-103	Alteromonas 76-1
PL6_3.hmm	alt76_03417	0.99	7.40E-163	Alteromonas 76-1
PL7_5.hmm	alt76_03418	0.99	7.70E-108	Alteromonas 76-1
PL6.hmm	alt76_03420	0.99	2.50E-147	Alteromonas 76-1
AA2.hmm	alt76_03438	0.42	1.80E-16	Alteromonas 76-1
CE1.hmm	alt76_03486	0.98	2.40E-52	Alteromonas 76-1
GH8.hmm	alt76_03504	0.99	2.70E-76	Alteromonas 76-1
GT2_Glycos_transf_2.hmm	alt76_03506	0.98	1.10E-35	Alteromonas 76-1
CE1.hmm	alt76_03511	0.90	7.60E-16	Alteromonas 76-1
GT4.hmm	alt76_03614	0.92	9.70E-25	Alteromonas 76-1
GT14.hmm	alt76_03618	0.91	1.60E-27	Alteromonas 76-1
GT27.hmm	alt76_03620	0.88	4.20E-24	Alteromonas 76-1
GT2_Glycos_transf_2.hmm	alt76_03624	0.90	1.60E-23	Alteromonas 76-1
GH1.hmm	alt76_03826	0.98	4.10E-153	Alteromonas 76-1
GH3.hmm	alt76_03834	0.97	3.00E-71	Alteromonas 76-1
GH31.hmm	alt76_03842	0.99	1.70E-124	Alteromonas 76-1
GH16_3.hmm	alt76_03848	1.00	2.90E-83	Alteromonas 76-1
CE1.hmm	alt76_03865	0.80	5.10E-24	Alteromonas 76-1
CBM9.hmm	alt76_03964	0.99	3.00E-46	Alteromonas 76-1
CE4.hmm	alt76_04021	0.92	5.40E-24	Alteromonas 76-1
CE1.hmm	alt76_04046	0.89	2.80E-18	Alteromonas 76-1
GH1.hmm	alt76_04077	0.98	2.60E-152	Alteromonas 76-1
GH105.hmm	alt76_04127	0.95	2.70E-75	Alteromonas 76-1
GH145.hmm	alt76_04129	0.93	1.50E-58	Alteromonas 76-1
GH106.hmm	alt76_04130	0.92	8.00E-175	Alteromonas 76-1
AA3.hmm	alt76_04131	0.51	1.20E-49	Alteromonas 76-1
CBM67.hmm	alt76_04135	0.93	7.40E-38	Alteromonas 76-1
GH78.hmm	alt76_04135	0.99	1.80E-167	Alteromonas 76-1
CBM67.hmm	alt76_04136	0.99	1.90E-37	Alteromonas 76-1
GH78.hmm	alt76_04136	0.98	8.60E-70	Alteromonas 76-1
GH39.hmm	alt76_04137	0.85	6.70E-22	Alteromonas 76-1
GH88.hmm	alt76_04138	0.97	3.00E-116	Alteromonas 76-1
PL24.hmm	alt76_04143	0.99	2.10E-174	Alteromonas 76-1
PL24.hmm	alt76_04144	1.00	1.20E-240	Alteromonas 76-1
GH2.hmm	alt76_04146	0.59	7.90E-113	Alteromonas 76-1
PL25.hmm	alt76_04147	0.66	1.40E-77	Alteromonas 76-1
GH106.hmm	alt76_04148	0.86	1.50E-189	Alteromonas 76-1
CBM67.hmm	alt76_04162	0.91	6.10E-29	Alteromonas 76-1
GH78.hmm	alt76_04162	0.99	2.10E-137	Alteromonas 76-1
GH105.hmm	alt76_04172	0.98	1.10E-77	Alteromonas 76-1
PL25.hmm	alt76_04173	0.99	1.60E-216	Alteromonas 76-1
GH145.hmm	alt76_04175	0.95	8.10E-90	Alteromonas 76-1
CBM67.hmm	alt76_04177	0.94	6.10E-35	Alteromonas 76-1
GH78.hmm	alt76_04177	0.99	8.40E-165	Alteromonas 76-1
GH43_10.hmm	alt76_04185	0.99	2.50E-86	Alteromonas 76-1
PL24.hmm	alt76_04188	1.00	3.40E-248	Alteromonas 76-1
PL29.hmm	alt76_04190	0.98	4.10E-56	Alteromonas 76-1
