HMMProfile	protein_id	evalue	Coverage	ProfileLength	ProfileStart	GeneLength	ProfileEnd	GeneStart	GeneEnd	Strain
GH33.hmm	WP_126160342.1	1.50E-16	0.65	342	49	420	273	91	353	Arenibacter aquaticus GUO
GT30.hmm	WP_126160372.1	1.10E-44	0.93	177	12	411	176	47	207	Arenibacter aquaticus GUO
CBM67.hmm	WP_126160376.1	5.10E-29	0.95	176	2	947	170	664	811	Arenibacter aquaticus GUO
GH20.hmm	WP_126160380.1	7.50E-115	0.97	337	8	766	336	155	508	Arenibacter aquaticus GUO
GH92.hmm	WP_126160381.1	2.20E-164	1	491	2	778	491	295	772	Arenibacter aquaticus GUO
GH20.hmm	WP_126160383.1	1.60E-118	0.97	337	8	618	336	150	508	Arenibacter aquaticus GUO
GH29.hmm	WP_126160388.1	6.80E-89	0.97	346	11	542	346	16	406	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126160395.1	1.20E-19	0.79	170	3	334	138	32	174	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126160424.1	8.20E-18	0.98	170	2	321	169	13	179	Arenibacter aquaticus GUO
CE14.hmm	WP_126160439.1	4.50E-22	0.98	124	2	288	124	27	135	Arenibacter aquaticus GUO
GH92.hmm	WP_126160448.1	4.30E-191	1	491	2	760	491	234	742	Arenibacter aquaticus GUO
GH109.hmm	WP_126160472.1	6.40E-18	0.95	126	2	458	122	39	164	Arenibacter aquaticus GUO
GH109.hmm	WP_126160491.1	2.90E-16	0.99	126	1	336	126	4	119	Arenibacter aquaticus GUO
GH33.hmm	WP_126160505.1	8.20E-91	0.93	342	15	376	332	40	350	Arenibacter aquaticus GUO
GH1.hmm	WP_126160582.1	4.60E-149	0.98	429	3	452	425	13	451	Arenibacter aquaticus GUO
GH145.hmm	WP_126160618.1	5.70E-88	0.96	296	11	467	295	56	350	Arenibacter aquaticus GUO
GH33.hmm	WP_126160688.1	4.50E-26	0.94	342	14	377	336	40	369	Arenibacter aquaticus GUO
GH29.hmm	WP_126160698.1	9.30E-102	0.91	346	30	446	346	21	336	Arenibacter aquaticus GUO
GH95.hmm	WP_126160699.1	4.00E-264	0.99	722	6	788	718	28	768	Arenibacter aquaticus GUO
GH31.hmm	WP_126160701.1	4.30E-83	1	427	2	717	427	200	629	Arenibacter aquaticus GUO
GH141.hmm	WP_126160704.1	5.30E-50	0.99	527	2	784	523	23	540	Arenibacter aquaticus GUO
GH29.hmm	WP_126160705.1	1.90E-74	0.84	346	48	747	339	64	399	Arenibacter aquaticus GUO
CBM32.hmm	WP_126160705.1	2.10E-21	0.86	124	15	747	122	625	742	Arenibacter aquaticus GUO
GH95.hmm	WP_126160717.1	2.70E-113	0.99	722	7	765	719	33	735	Arenibacter aquaticus GUO
GH141.hmm	WP_126160718.1	7.10E-122	0.99	527	2	616	524	29	542	Arenibacter aquaticus GUO
GH43_18.hmm	WP_126160728.1	4.80E-94	0.99	229	2	603	229	360	589	Arenibacter aquaticus GUO
CE7.hmm	WP_126160766.1	7.60E-17	0.47	313	58	447	205	91	252	Arenibacter aquaticus GUO
GH117.hmm	WP_126160769.1	7.80E-43	0.69	211	1	345	146	72	228	Arenibacter aquaticus GUO
GH97.hmm	WP_126160774.1	1.60E-130	0.99	631	6	638	630	15	634	Arenibacter aquaticus GUO
